label,url,referenceUrl,hoverSelector,clickSelector,onReadyScript,onBeforeScript
Abbott Store PDP Page-1,https://abbottstore.com//pedialyte-powder-packs-variety-pack-64-count-56090.html,https://dev.abbottstore.com/content/abbott/en/infant_and_child/pedialyte/pedialyte_powderpacks/con002/pedialyte-powder-packs-variety-pack-64-count-56090.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-2,https://abbottstore.com/active_lifestyle/zoneperfect/zoneperfect_ketoshakes/con012/zoneperfect-keto-shake-white-chocolate-coconut-11-fl-oz-tetra-case-of-12-67260.html,https://dev.abbottstore.com/content/abbott/en/active_lifestyle/zoneperfect/zoneperfect_ketoshakes/con012/zoneperfect-keto-shake-white-chocolate-coconut-11-fl-oz-tetra-case-of-12-67260.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-4,https://abbottstore.com/pediasure-sidekicks-shake-strawberry-8-fl-oz-bottle-case-of-24-66916.html,https://dev.abbottstore.com/content/abbott/en/con010/pediasure-sidekicks-shake-strawberry-8-fl-oz-bottle-case-of-24-66916.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-5,https://abbottstore.com/enteralformula1-0calwithfiber-8-fl-ozcans-caseof24-51806.html,https://dev.abbottstore.com/content/abbott/en/infant_and_child/pediasure/pediasure_1_0_1_5/enteralformula1-0calwithfiber-8-fl-ozcans-caseof24-51806.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-6,https://abbottstore.com/pedialyte-strawberry-1-liter-bottle-case-of-8-53983.html,https://dev.abbottstore.com/content/abbott/en/infant_and_child/pedialyte/pedialyte_liquid/con003/pedialyte-strawberry-1-liter-bottle-case-of-8-53983.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-7,https://abbottstore.com/ensure-high-protein-nutrition-shake-strawberry-8-fl-oz-case-of-24-66546.html,https://dev.abbottstore.com/content/abbott/en/shop_by_need/nutrition_duringcancer/weight_maintenanceandnutrition/con026/ensure-high-protein-nutrition-shake-strawberry-8-fl-oz-case-of-24-66546.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-8,https://abbottstore.com/precision-xtra-blood-glucose-test-strips-50-count-9972865.html,https://dev.abbottstore.com/content/abbott/en/diabetes_management/precision_brand/precision_brand/precision-xtra-blood-glucose-test-strips-50-count-9972865.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-9,https://abbottstore.com/pediasure-vanilla-8-fl-oz-bottle-case-of-24-58049.html,https://dev.abbottstore.com/content/abbott/en/infant_and_child/pediasure/pediasure/con007/pediasure-vanilla-8-fl-oz-bottle-case-of-24-58049.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-11,https://abbottstore.com//pedialyte-grape-1-liter-bottle-case-of-8-00240.html,https://dev.abbottstore.com/content/abbott/en/infant_and_child/pedialyte/pedialyte_liquid/con003/pedialyte-grape-1-liter-bottle-case-of-8-00240.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-12,https://abbottstore.com//pedialyte-powder-packs-variety-pack-64-count-56090.html,https://dev.abbottstore.com/content/abbott/en/infant_and_child/pedialyte/pedialyte_powderpacks/con002/pedialyte-powder-packs-variety-pack-64-count-56090.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-13,https://abbottstore.com/pediasure-peptide-1-0-cal-unflavored-8-fl-oz-bottle-case-of-24-67413.html,https://dev.abbottstore.com/content/abbott/en/infant_and_child/pediasure/pediasure_peptide/con011/pediasure-peptide-1-0-cal-unflavored-8-fl-oz-bottle-case-of-24-67413.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-14,https://abbottstore.com/hunger-smart-rich-chocolate-shake-10-fl-oz-bottle-case-of-12-62885.html,https://dev.abbottstore.com/content/abbott/en/diabetes_management/glucerna/glucerna_hunger_smart/con018/hunger-smart-rich-chocolate-shake-10-fl-oz-bottle-case-of-12-62885.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-15,https://abbottstore.com/double-dark-chocolate-1-58-oz-wrapper-12-pack-63214p12.html,https://dev.abbottstore.com/content/abbott/en/active_lifestyle/zoneperfect/zoneperfect_nutritionbars/con001/double-dark-chocolate-1-58-oz-wrapper-12-pack-63214p12.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-16,https://abbottstore.com/similac-sensitive-infant-formula-powder-29-8-oz-can-case-of-6-62951.html,https://dev.abbottstore.com/content/abbott/en/infant_and_child/similac/similac_sensitive/con044/similac-sensitive-infant-formula-powder-29-8-oz-can-case-of-6-62951.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-17,https://abbottstore.com/zoneperfect-carb-wise-shake-orange-cream-11-fl-oz-tetra-case-of-12-67257.html,https://dev.abbottstore.com/content/abbott/en/active_lifestyle/zoneperfect/zoneperfect_carbwiseshakes/con14/zoneperfect-carb-wise-shake-orange-cream-11-fl-oz-tetra-case-of-12-67257.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-18,https://abbottstore.com/advance-non-gmo-1-45lbpowder-64242e.html,https://dev.abbottstore.com/content/abbott/en/infant_and_child/similac/similac_advance/con041/advance-non-gmo-1-45lbpowder-64242e.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-19,https://abbottstore.com/zoneperfect-nutrition-bar-cinnamon-roll-1-76-oz-wrapper-3-12-packs-63309.html,https://dev.abbottstore.com/content/abbott/en/active_lifestyle/zoneperfect/zoneperfect_nutritionbars/con001/zoneperfect-nutrition-bar-cinnamon-roll-1-76-oz-wrapper-3-12-packs-63309.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-20,https://abbottstore.com/vital-high-protein-8-fl-oz-tetra-case-of-24-64820.html,https://dev.abbottstore.com/content/abbott/en/therapeutic_nutrition/vital/vital_high_protein/vital-high-protein-8-fl-oz-tetra-case-of-24-64820.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-21,https://abbottstore.com/zoneperfect-high-protein-shake-vanilla-ice-cream-11-fl-oz-tetra-case-of-12-67272.html,https://dev.abbottstore.com/content/abbott/en/active_lifestyle/zoneperfect/zoneperfect_highproteinshakes/con005/zoneperfect-high-protein-shake-vanilla-ice-cream-11-fl-oz-tetra-case-of-12-67272.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-22,https://abbottstore.com/glucerna-shake-creamy-strawberry-8-fl-oz-bottle-case-of-24-57807.html,https://dev.abbottstore.com/content/abbott/en/diabetes_management/glucerna/glucerna_shake/con022/glucerna-shake-creamy-strawberry-8-fl-oz-bottle-case-of-24-57807.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
Abbott Store PDP Page-23,https://abbottstore.com/pedialyte-strawberry-1-liter-bottle-53983e.html,https://dev.abbottstore.com/content/abbott/en/infant_and_child/pedialyte/pedialyte_liquid/con003/pedialyte-strawberry-1-liter-bottle-53983e.html,,body > div.root.responsivegrid > div > div.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div.container.aem-GridColumn.aem-GridColumn--default--12 > section > div > div > section > ol > li:nth-child(2),,
